edge,avg_lead_ppm,pipe_age,pipe_diameter,pipe_material
M1L-M4E,-2.7995814885944127e-07,68.8,270.0,CI
M4C-M4E,-2.885406296700239e-07,112.91666666666667,175.0,CI
M1N-M4E,-2.99053149158135e-07,81.26666666666667,183.33333333333334,CI
M4B-M4E,-2.8363870382308957e-07,99.14285714285714,192.85714285714286,CI
M4E-M4L,-2.8910392136313017e-07,97.36363636363636,204.54545454545453,CI
M4J-M4K,-2.1556974281556904e-07,97.18518518518519,187.03703703703704,CI
M4K-M4X,-1.6926831945311275e-07,63.0,300.0,CI
M4K-M4M,-2.0282251345925033e-07,107.81818181818181,262.5,CI
M4G-M4K,-1.9495181390084325e-07,45.75,175.0,CI
M4K-M5A,-1.6791862526442852e-07,32.666666666666664,400.0,CI
M1L-M4B,-2.688133735675365e-07,77.1,187.5,CI
M1L-M1N,-2.842278189025819e-07,62.95652173913044,226.08695652173913,CI
M1L-M4A,-2.3700409976299853e-07,73.57142857142857,192.85714285714286,CI
M1K-M1L,-2.4582779216580094e-07,58.111111111111114,227.77777777777777,CI
M1L-M1R,-2.3101530238054693e-07,70.0,400.0,CI
M2L-M3B,-1.3214728292077782e-07,58.11764705882353,244.11764705882354,CI
M3B-M3C,-1.6599039768334479e-07,39.92307692307692,203.84615384615384,CI
M3A-M3B,-1.5216264580376446e-07,61.8,180.0,CI
M3B-M4G,-1.7312949567567557e-07,53.25,150.0,CI
M3B-M4N,-1.5458553673233838e-07,38.666666666666664,200.0,CI
M2J-M3B,-1.3822748980019243e-07,35.0,300.0,PVC
M6E-M6H,-1.662647075718269e-07,100.13333333333334,187.5,CI
M6H-M6R,-2.0036657510790972e-07,94.92307692307692,200.0,CI
M6H-M6P,-1.8995969952084126e-07,99.13333333333334,206.66666666666666,CI
M6G-M6H,-1.7626891944091768e-07,115.36842105263158,226.31578947368422,CI
M6C-M6H,-1.7080824999138714e-07,95.0,200.0,CI
M6H-M6K,-1.639906521420926e-07,139.5,150.0,CICL
M6H-M6J,-1.4970924095250666e-07,137.75,187.5,CI
M4C-M4J,-2.616657491773367e-07,91.07142857142857,210.71428571428572,CI
M4J-M4M,-2.2828648877330128e-07,106.0,162.5,CI
