edge,avg_lead_ppm,pipe_age,pipe_diameter,pipe_material
M1L-M4E,5.2176145330071446e-05,66.8,270.0,CI
M4C-M4E,5.4143322512507436e-05,110.91666666666667,175.0,CI
M1N-M4E,5.479615381360054e-05,79.26666666666667,183.33333333333334,CI
M4B-M4E,5.311113525927066e-05,97.14285714285714,192.85714285714286,CI
M4E-M4L,5.4473020762205125e-05,95.36363636363636,204.54545454545453,CI
M4J-M4K,4.7008509621024134e-05,95.18518518518519,187.03703703703704,CI
M4K-M4X,3.9694327883422375e-05,61.0,300.0,CI
M4K-M4M,4.70551457554102e-05,105.81818181818181,262.5,CI
M4G-M4K,4.497886396944523e-05,43.75,175.0,CI
M4K-M5A,4.047268317639828e-05,30.666666666666668,400.0,CI
M1L-M4B,5.054144078493118e-05,75.1,187.5,CI
M1L-M1N,5.2226459339261056e-05,60.95652173913044,226.08695652173913,CI
M1L-M4A,4.539173631370068e-05,71.57142857142857,192.85714285714286,CI
M1K-M1L,4.902960623800754e-05,56.111111111111114,227.77777777777777,CI
M1L-M1R,4.4309874311089516e-05,68.0,400.0,CI
M2L-M3B,4.1077531635761266e-05,56.11764705882353,244.11764705882354,CI
M3B-M3C,3.8500198006629946e-05,37.92307692307692,203.84615384615384,CI
M3A-M3B,3.642080728709698e-05,59.8,180.0,CI
M3B-M4G,4.177762554585934e-05,51.25,150.0,CI
M3B-M4N,4.2112851262092594e-05,36.666666666666664,200.0,CI
M2J-M3B,3.54540450796485e-05,33.0,300.0,PVC
M6E-M6H,5.115616580843926e-05,98.13333333333334,187.5,CI
M6H-M6R,5.162015976011753e-05,92.92307692307692,200.0,CI
M6H-M6P,5.129268400371075e-05,97.13333333333334,206.66666666666666,CI
M6G-M6H,4.960369990766049e-05,113.36842105263158,226.31578947368422,CI
M6C-M6H,4.9623220771551135e-05,93.0,200.0,CI
M6H-M6K,5.1453696504235265e-05,137.5,150.0,CICL
M6H-M6J,4.9406140923500064e-05,135.75,187.5,CI
M4C-M4J,5.13395843654871e-05,89.07142857142857,210.71428571428572,CI
M4J-M4M,4.918499964475632e-05,104.0,162.5,CI
M4J-M4L,5.166928261518479e-05,83.41666666666667,162.5,CI
M3C-M4J,4.3831290319561964e-05,65.0,300.0,CI
M4G-M4J,4.7108717858791355e-05,21.0,300.0,PVC
M4L-M4M,5.171591874957085e-05,107.3,245.0,CI
M4M-M5A,4.264917320013047e-05,104.5,244.44444444444446,CI
M4G-M4T,4.7192880675196646e-05,62.55555555555556,200.0,CI
M4G-M4S,4.6401719942688946e-05,100.875,168.75,CI
M3C-M4G,4.180164466798306e-05,54.0,230.0,CI
M4G-M4P,4.561600357294083e-05,58.1,225.0,CI
M4C-M4L,5.3870503470301634e-05,107.9,180.0,CI
M4B-M4C,5.250861796736717e-05,94.13333333333334,186.66666666666666,CI
M6P-M6S,5.232588128745557e-05,84.08333333333333,175.0,CI
M6N-M6P,5.1851669833064085e-05,74.75,225.0,CI
M6E-M6P,5.148345191776753e-05,77.55555555555556,188.88888888888889,CI
M6P-M6R,5.1947445869445805e-05,87.46153846153847,173.07692307692307,CI
M6M-M6P,5.2808556541800506e-05,82.5,225.0,CI
M5M-M6B,4.891476321220398e-05,44.333333333333336,175.0,CI
M3H-M5M,4.7921447217464454e-05,51.294117647058826,167.64705882352942,CI
M4R-M5M,4.74186182320118e-05,92.22222222222223,177.77777777777777,CI
M2P-M5M,4.886282548308373e-05,48.666666666666664,216.66666666666666,CI
M4N-M5M,4.689002281427384e-05,76.33333333333333,214.28571428571428,CI
M5M-M5N,4.74197774231434e-05,32.888888888888886,222.22222222222223,CI
M1R-M4A,4.009515976905823e-05,52.785714285714285,203.57142857142858,CI
M1P-M1R,3.812021557986736e-05,51.46666666666667,173.33333333333334,CI
M1R-M1T,3.22709094285965e-05,63.285714285714285,221.42857142857142,CI
