edge,avg_lead_ppm,pipe_age,pipe_diameter,pipe_material
M1L-M4E,3.0041459441185e-05,67.8,270.0,CI
M4C-M4E,3.0363103449344635e-05,111.91666666666667,175.0,CI
M1N-M4E,3.0718260288238526e-05,80.26666666666667,183.33333333333334,CI
M4B-M4E,3.041062432527542e-05,98.14285714285714,192.85714285714286,CI
M4E-M4L,3.0237993836402892e-05,96.36363636363636,204.54545454545453,CI
M4J-M4K,2.6824160277843473e-05,96.18518518518519,187.03703703703704,CI
M4K-M4X,2.351078137755394e-05,62.0,300.0,CI
M4K-M4M,2.631731155514717e-05,106.81818181818181,262.5,CI
M4G-M4K,2.6016563802957533e-05,44.75,175.0,CI
M4K-M5A,2.305288302898407e-05,31.666666666666668,400.0,CI
M1L-M4B,2.971847063302994e-05,76.1,187.5,CI
M1L-M1N,3.0026106595993046e-05,61.95652173913044,226.08695652173913,CI
M1L-M4A,2.8260484457015994e-05,72.57142857142857,192.85714285714286,CI
M1K-M1L,2.8422957211732868e-05,57.111111111111114,227.77777777777777,CI
M1L-M1R,2.6929163575172426e-05,69.0,400.0,CI
M2L-M3B,2.556607136130333e-05,57.11764705882353,244.11764705882354,CI
M3B-M3C,2.5323391139507293e-05,38.92307692307692,203.84615384615384,CI
M3A-M3B,2.4193703830242156e-05,60.8,180.0,CI
M3B-M4G,2.5678402781486512e-05,52.25,150.0,CI
M3B-M4N,2.5850120604038236e-05,37.666666666666664,200.0,CI
M2J-M3B,2.310929462313652e-05,34.0,300.0,PVC
M6E-M6H,2.729511684179306e-05,99.13333333333334,187.5,CI
M6H-M6R,2.7636155009269713e-05,93.92307692307692,200.0,CI
M6H-M6P,2.7216922253370283e-05,98.13333333333334,206.66666666666666,CI
M6G-M6H,2.60373278260231e-05,114.36842105263158,226.31578947368422,CI
M6C-M6H,2.6581326216459273e-05,94.0,200.0,CI
M6H-M6K,2.7465735316276552e-05,138.5,150.0,CICL
M6H-M6J,2.5588440328836442e-05,136.75,187.5,CI
M4C-M4J,2.895322930812836e-05,90.07142857142857,210.71428571428572,CI
M4J-M4M,2.740701612830162e-05,105.0,162.5,CI
M4J-M4L,2.8828119695186613e-05,84.41666666666667,162.5,CI
M3C-M4J,2.6751256734132768e-05,66.0,300.0,CI
M4G-M4J,2.7106268376111984e-05,22.0,300.0,PVC
M4L-M4M,2.832127097249031e-05,108.3,245.0,CI
M4M-M5A,2.3635738879442215e-05,105.5,244.44444444444446,CI
M4G-M4T,2.7423243612051008e-05,63.55555555555556,200.0,CI
M4G-M4S,2.6533699899911883e-05,101.875,168.75,CI
M3C-M4G,2.5943660259246825e-05,55.0,230.0,CI
M4G-M4P,2.6226955860853196e-05,59.1,225.0,CI
M4C-M4L,2.9867484152317047e-05,108.9,180.0,CI
M4B-M4C,3.0040114641189574e-05,95.13333333333334,186.66666666666666,CI
M6P-M6S,2.754079693555832e-05,85.08333333333333,175.0,CI
M6N-M6P,2.708270153403282e-05,75.75,225.0,CI
M6E-M6P,2.7430181950330735e-05,78.55555555555556,188.88888888888889,CI
M6P-M6R,2.7771220117807386e-05,88.46153846153847,173.07692307692307,CI
M6M-M6P,2.7487396448850632e-05,83.5,225.0,CI
M5M-M6B,2.6763922572135922e-05,45.333333333333336,175.0,CI
M3H-M5M,2.531939995288849e-05,52.294117647058826,167.64705882352942,CI
M4R-M5M,2.626843982934952e-05,93.22222222222223,177.77777777777777,CI
