edge,avg_lead_ppm,pipe_age,pipe_diameter,pipe_material
M1L-M4E,6.046382242441177e-05,65.8,270.0,CI
M4C-M4E,6.204723605513572e-05,109.91666666666667,175.0,CI
M1N-M4E,6.253367871046067e-05,78.26666666666667,183.33333333333334,CI
M4B-M4E,6.108230024576187e-05,96.14285714285714,192.85714285714286,CI
M4E-M4L,6.213615548610686e-05,94.36363636363636,204.54545454545453,CI
M4J-M4K,5.604660272598267e-05,94.18518518518519,187.03703703703704,CI
M4K-M4X,4.974443918466568e-05,60.0,300.0,CI
M4K-M4M,5.562132999300957e-05,104.81818181818181,262.5,CI
M4G-M4K,5.482627150416375e-05,42.75,175.0,CI
M4K-M5A,5.001274313032627e-05,29.666666666666668,400.0,CI
M1L-M4B,5.892936700582504e-05,74.1,187.5,CI
M1L-M1N,6.038074547052384e-05,59.95652173913044,226.08695652173913,CI
M1L-M4A,5.473470023274422e-05,70.57142857142857,192.85714285714286,CI
M1K-M1L,5.752912300825119e-05,55.111111111111114,227.77777777777777,CI
M1L-M1R,5.3134243786334994e-05,67.0,400.0,CI
M2L-M3B,4.951898157596589e-05,55.11764705882353,244.11764705882354,CI
M3B-M3C,4.813144443929196e-05,36.92307692307692,203.84615384615384,CI
M3A-M3B,4.652863866090774e-05,58.8,180.0,CI
M3B-M4G,5.179138308763504e-05,50.25,150.0,CI
M3B-M4N,5.0759835213422776e-05,35.666666666666664,200.0,CI
M2J-M3B,4.6217590719461446e-05,32.0,300.0,PVC
M6E-M6H,6.0872585117816926e-05,97.13333333333334,187.5,CI
M6H-M6R,6.137091439962388e-05,91.92307692307692,200.0,CI
M6H-M6P,6.128395450115204e-05,96.13333333333334,206.66666666666666,CI
M6G-M6H,5.9849974036216744e-05,112.36842105263158,226.31578947368422,CI
M6C-M6H,6.0251897931098945e-05,92.0,200.0,CI
M6H-M6K,6.149799805879594e-05,136.5,150.0,CICL
M6H-M6J,5.968859705328942e-05,134.75,187.5,CI
M4C-M4J,5.98839031457901e-05,88.07142857142857,210.71428571428572,CI
M4J-M4M,5.786481711268425e-05,103.0,162.5,CI
M4J-M4L,5.9972822576761244e-05,82.41666666666667,162.5,CI
M3C-M4J,5.340981997549534e-05,64.0,300.0,CI
M4G-M4J,5.706975862383842e-05,20.0,300.0,PVC
M4L-M4M,5.9547549843788146e-05,106.3,245.0,CI
M4M-M5A,5.1830957517027855e-05,103.5,244.44444444444446,CI
M4G-M4T,5.7647230744361876e-05,61.55555555555556,200.0,CI
M4G-M4S,5.7242621898651125e-05,99.875,168.75,CI
M3C-M4G,5.218948875367642e-05,53.0,230.0,CI
M4G-M4P,5.6364579766988755e-05,57.1,225.0,CI
M4C-M4L,6.156663587689399e-05,106.9,180.0,CI
M4B-M4C,6.051278063654899e-05,93.13333333333334,186.66666666666666,CI
M6P-M6S,6.26817964911461e-05,83.08333333333333,175.0,CI
M6N-M6P,6.244396463036538e-05,73.75,225.0,CI
M6E-M6P,6.162682753801347e-05,76.55555555555556,188.88888888888889,CI
M6P-M6R,6.21251568198204e-05,86.46153846153847,173.07692307692307,CI
M6M-M6P,6.260090482234955e-05,81.5,225.0,CI
M5M-M6B,5.822690320014954e-05,43.333333333333336,175.0,CI
M3H-M5M,5.2426357403397556e-05,50.294117647058826,167.64705882352942,CI
M4R-M5M,5.72378810942173e-05,91.22222222222223,177.77777777777777,CI
M2P-M5M,5.356962722539902e-05,47.666666666666664,216.66666666666666,CI
M4N-M5M,5.490688323974609e-05,75.33333333333333,214.28571428571428,CI
M5M-M5N,5.778664350509644e-05,31.88888888888889,222.22222222222223,CI
M1R-M4A,4.955805483460427e-05,51.785714285714285,203.57142857142858,CI
M1P-M1R,4.6422297149896625e-05,50.46666666666667,173.33333333333334,CI
M1R-M1T,4.1274232029914865e-05,62.285714285714285,221.42857142857142,CI
M1R-M3A,4.6640768468379975e-05,52.18181818181818,227.27272727272728,CI
M1K-M1R,5.235247761011124e-05,57.666666666666664,250.0,CI
M2H-M2J,4.534347969293595e-05,44.142857142857146,250.0,CP
M1W-M2J,3.986375692486764e-05,44.642857142857146,192.85714285714286,CI
M2J-M3A,4.501289060711861e-05,60.2,240.0,CI
M2J-M2K,4.866217523813248e-05,59.0,350.0,CI
M1T-M2J,3.96463541686535e-05,38.666666666666664,250.0,CI
M2J-M2L,4.8003233522176755e-05,64.0,400.0,DIP
M6S-M8X,6.381278988718987e-05,79.77777777777777,166.66666666666666,CI
M6R-M6S,6.276875638961792e-05,67.66666666666667,208.33333333333334,CI
M6S-M8Y,6.383143705129624e-05,58.5,225.0,CI
M6N-M6S,6.30875642001629e-05,107.33333333333333,180.0,CI
M9A-M9B,6.497658362984658e-05,74.6,180.0,AC
M9A-M9R,6.43118566274643e-05,65.22222222222223,227.77777777777777,CI
M8X-M9A,6.403748294711113e-05,80.77777777777777,205.0,CI
M8Z-M9A,6.449588713049889e-05,91.0,225.0,CI
M9A-M9P,6.288840526342393e-05,50.666666666666664,216.66666666666666,CI
M9A-M9N,6.22498204112053e-05,57.0,150.0,UNK
M6N-M9A,6.331225726008416e-05,43.333333333333336,216.66666666666666,CI
M1K-M1N,5.959897929430008e-05,75.25,193.75,CI
M1M-M1N,6.22486344575882e-05,57.416666666666664,212.5,CI
M2R-M3H,4.934155809879303e-05,56.666666666666664,175.0,CI
M3H-M3J,4.578763587772846e-05,35.0,187.5,CI
M3H-M3K,5.014416123926639e-05,56.5,186.53846153846155,CI
M2N-M3H,5.100539834797382e-05,58.5,203.57142857142858,CI
M2K-M2N,5.29040122628212e-05,46.53846153846154,173.07692307692307,CI
M2M-M2N,5.390330761671067e-05,48.705882352941174,255.88235294117646,CI
M2N-M2P,5.2148668169975284e-05,58.21739130434783,206.52173913043478,CI
M2N-M2R,5.1521676465868954e-05,64.66666666666667,183.33333333333334,CI
M3L-M3M,4.7086690038442614e-05,61.411764705882355,197.05882352941177,CI
M3M-M9N,5.634729915857315e-05,46.0,270.0,CI
M3K-M3M,5.171639108657837e-05,18.166666666666668,200.0,CI
M3M-M6L,5.6297567367553716e-05,35.666666666666664,216.66666666666666,CI
M3J-M3M,4.7359865725040434e-05,12.0,300.0,PVC
M3M-M6A,5.553583297133446e-05,12.0,300.0,PVC
M5T-M6J,5.403834529221058e-05,103.11764705882354,232.35294117647058,CI
M6J-M6K,6.0656883031129835e-05,94.95833333333333,222.91666666666666,CI
M6G-M6J,5.9008859008550646e-05,106.52941176470588,170.58823529411765,CI
M5V-M6J,5.806935799121857e-05,76.0,280.0,CI
M5S-M6J,5.6142186373472216e-05,93.0,150.0,CI
M6L-M6M,6.189450389146805e-05,37.0,216.66666666666666,CI
M6M-M6N,6.300667253136634e-05,81.64516129032258,188.28125,CI
M6E-M6M,6.218953543901443e-05,75.05,212.5,CI
M6A-M6M,6.11327694952488e-05,39.5,225.0,CI
M4A-M4B,5.535317805409432e-05,60.857142857142854,271.42857142857144,CI
M6K-M6R,6.23392003774643e-05,101.88888888888889,230.55555555555554,CI
M5V-M6K,5.987875899672509e-05,32.0,200.0,UNK
M4P-M4R,5.76640297472477e-05,86.6923076923077,200.0,CI
M4N-M4P,5.5333031892776486e-05,64.6,180.0,CI
M4P-M4S,5.775777426362038e-05,66.625,196.875,CI
M4S-M4T,5.9040425240993504e-05,72.66666666666667,200.0,CI
M4S-M5P,5.936383238434792e-05,81.75,225.0,CI
M4S-M4V,6.005839484930039e-05,108.25,200.0,CI
M4R-M4S,5.854207187891007e-05,47.75,362.5,CI
M6B-M6E,6.08209148645401e-05,83.64285714285714,230.0,CI
M6C-M6E,6.0594770967960354e-05,96.1875,190.625,CI
M6A-M6E,6.0158692210912703e-05,68.0,300.0,CI
M6B-M6C,6.020022767782211e-05,79.6875,221.875,CI
M6C-M6G,5.957215988636017e-05,77.0909090909091,190.9090909090909,CI
M5P-M6C,6.003296607732773e-05,86.64285714285714,185.71428571428572,CI
M5N-M6C,5.9759967982769015e-05,72.36363636363636,263.6363636363636,CI
M9C-M9R,6.61800285577774e-05,56.0,600.0,CP
M9B-M9C,6.684475556015968e-05,51.8,280.0,CI
M8W-M9C,6.703067937493325e-05,40.333333333333336,250.0,CI
M9C-M9W,6.724014467000961e-05,60.0,500.0,CP
M9P-M9R,6.342547971010208e-05,48.333333333333336,225.0,CI
M9R-M9W,6.590904718637466e-05,40.6,272.5,CI
M9M-M9R,5.9320909291505814e-05,41.75,237.5,CI
M9B-M9R,6.551365807652473e-05,55.8,220.0,CI
M9R-M9V,6.4197607755661e-05,15.0,150.0,PVC
M4R-M5N,5.899708977341652e-05,97.11111111111111,241.66666666666666,CI
M5N-M5P,5.9818850278854374e-05,91.6923076923077,210.71428571428572,CI
M5N-M6B,5.998611187934875e-05,30.133333333333333,196.66666666666666,CI
M8V-M8Y,6.498461741209031e-05,73.5625,189.47368421052633,AC
M8V-M8W,6.609099474549294e-05,82.125,196.875,CI
M8V-M8Z,6.54243744313717e-05,73.42857142857143,262.5,CI
M5R-M6G,5.7974138557910924e-05,106.70588235294117,247.05882352941177,CI
M5P-M6G,5.963104218244553e-05,69.33333333333333,300.0,CI
M5S-M6G,5.630356335639954e-05,117.66666666666667,150.0,CI
M8W-M8Z,6.588361239433288e-05,55.333333333333336,277.77777777777777,CI
M8W-M9B,6.636430889368056e-05,42.0,300.0,PVC
M4N-M4R,5.611732950806618e-05,109.35714285714286,171.42857142857142,CI
M4R-M5P,5.927008786797524e-05,100.125,168.75,CI
M5R-M5S,5.510746592283249e-05,69.4,195.0,CI
M4Y-M5S,5.1644076511263846e-05,78.3,260.0,CI
M5S-M5T,5.133304964005947e-05,69.6842105263158,242.85714285714286,CI
M5H-M5S,4.704460373520851e-05,15.0,150.0,DICL
M8X-M8Z,6.475858789682388e-05,65.7,185.0,CI
M8Y-M8Z,6.477723506093025e-05,64.0,175.0,CI
M8Z-M9B,6.569768857955932e-05,78.14285714285714,200.0,CI
M6N-M8X,6.357495802640915e-05,55.54545454545455,190.9090909090909,CI
M6N-M9N,6.178729549050332e-05,75.0,218.75,CI
M4V-M5R,5.912950721383095e-05,114.36363636363636,218.1818181818182,CI
M4Y-M5R,5.331465171277523e-05,79.66666666666667,191.66666666666666,CI
M5P-M5R,5.8434944748878484e-05,109.0,150.0,CI
M2L-M4N,5.2545478016138085e-05,35.142857142857146,228.57142857142858,CI
M2P-M4N,5.2449075639247895e-05,41.857142857142854,150.0,CI
M4T-M4V,6.046300369501114e-05,87.25,175.0,CI
M4T-M4W,5.789260876178742e-05,69.125,150.0,CI
M4V-M5P,6.078641083836556e-05,95.95,192.5,CI
M9V-M9W,6.525772386789321e-05,43.791666666666664,225.0,AC
M9L-M9V,5.852026417851449e-05,45.0,205.55555555555554,CI
M9M-M9V,5.8669585973024365e-05,20.75,166.66666666666666,CI
M3C-M4A,4.984403069317341e-05,62.75,306.25,CI
M3A-M3C,4.692674432694912e-05,68.0,150.0,CI
M1J-M1K,5.439460545778275e-05,51.61538461538461,180.76923076923077,CI
M1K-M1M,5.939701199531555e-05,31.76923076923077,203.84615384615384,CI
M1K-M1P,5.081717637181282e-05,68.3,185.0,CI
M8X-M8Y,6.43188308775425e-05,71.4,195.0,CI
M6A-M6B,5.976414892077446e-05,57.35294117647059,194.44444444444446,CI
M1S-M1V,3.0381601735949516e-05,44.5,242.85714285714286,AC
M1H-M1S,3.7889485791325565e-05,50.11764705882353,241.1764705882353,AC
M1S-M1T,3.438520054519177e-05,44.666666666666664,183.33333333333334,AC
M1B-M1S,3.767550694942474e-05,37.23076923076923,234.6153846153846,DIP
M1P-M1S,3.953326566517353e-05,44.0,316.6666666666667,CI
M6L-M9N,6.067512685060501e-05,45.611111111111114,180.55555555555554,CI
M9N-M9P,6.136344349384308e-05,43.10526315789474,205.0,CI
M9M-M9N,5.725887307524681e-05,58.142857142857146,250.0,CI
M1H-M1P,4.324321603775024e-05,60.333333333333336,225.0,CI
M1J-M1P,4.846442499756813e-05,33.285714285714285,192.85714285714286,CI
M1P-M1T,3.973893079161645e-05,54.0,233.33333333333334,CI
M5H-M5T,4.4940762653946885e-05,95.0,213.33333333333334,CI
M5H-M5J,4.381267695128918e-05,91.6,280.0,CI
M5B-M5H,3.919527490437031e-05,86.625,225.0,CI
M5C-M5H,3.8993838876485824e-05,97.85714285714286,300.0,CI
M4Y-M5H,4.5251789525151255e-05,122.0,287.5,CI
M2M-M2R,5.2239467367529876e-05,31.0,191.66666666666666,CI
M2R-M3J,4.630391399562359e-05,59.5,300.0,CI
M4W-M4X,5.101297309994698e-05,103.375,218.75,CI
M4W-M4Y,5.3095722869038586e-05,92.75,307.6923076923077,CI
M4V-M4W,5.891057837009431e-05,99.5,310.0,CI
M1T-M1V,3.058726686239243e-05,33.42857142857143,178.57142857142858,DIP
M1V-M1W,3.0804669618606574e-05,39.666666666666664,222.22222222222223,CI
M9M-M9P,5.789745792746544e-05,47.0,250.0,CI
M4Y-M5B,4.3794747680425644e-05,65.53846153846153,246.15384615384616,CI
M4X-M5B,4.171199791133404e-05,105.66666666666667,250.0,CI
M5B-M5C,3.753679703176021e-05,88.14285714285714,242.85714285714286,CI
M1T-M3A,3.99574021100998e-05,64.42857142857143,185.71428571428572,CI
M3A-M4A,4.82412249147892e-05,21.0,300.0,CI
M2K-M2M,5.3621803164482127e-05,44.64705882352941,191.1764705882353,CI
M1C-M1E,4.7320473402738574e-05,52.266666666666666,206.66666666666666,AC
M1E-M1G,4.786115236580372e-05,49.42857142857143,214.28571428571428,CI
M1E-M1J,4.993763825297356e-05,42.0,187.5,CI
