edge,avg_lead_ppm,pipe_age,pipe_diameter,pipe_material
M1L-M4E,0.0001024636664986,63.8,270.0,CI
M4C-M4E,0.00010329379767175,107.91666666666667,175.0,CI
M1N-M4E,0.0001021836183965,76.26666666666667,183.33333333333334,CI
M4B-M4E,0.0001030704693496,94.14285714285714,192.85714285714286,CI
M4E-M4L,0.00010374129697675,92.36363636363636,204.54545454545453,CI
M4J-M4K,0.0001064289835095,92.18518518518519,187.03703703703704,CI
M4K-M4X,0.00010419395104045,58.0,300.0,CI
M4K-M4M,0.0001071662651002,102.81818181818181,262.5,CI
M4G-M4K,0.0001066223189234,40.75,175.0,CI
M4K-M5A,0.00010670478925105,27.666666666666668,400.0,CI
M1L-M4B,0.0001027876143157,72.1,187.5,CI
M1L-M1N,0.0001019007633626,57.95652173913044,226.08695652173913,CI
M1L-M4A,0.00010297520220275001,68.57142857142857,192.85714285714286,CI
M1K-M1L,0.00010138993084425,53.111111111111114,227.77777777777777,CI
M1L-M1R,0.00010264328688374999,65.0,400.0,CI
M2L-M3B,0.000108844769597,53.11764705882353,244.11764705882354,CI
M3B-M3C,0.00010699909284704999,34.92307692307692,203.84615384615384,CI
M3A-M3B,0.0001066675843298,56.8,180.0,CI
M3B-M4G,0.0001069985291361,48.25,150.0,CI
M3B-M4N,0.00010798796966664999,33.666666666666664,200.0,CI
M2J-M3B,0.0001081643240153,30.0,300.0,PVC
M6E-M6H,0.0001065086178481,95.13333333333334,187.5,CI
M6H-M6R,0.00010649598374954999,89.92307692307692,200.0,CI
M6H-M6P,0.00010693545162669999,94.13333333333334,206.66666666666666,CI
M6G-M6H,0.0001066597679257,110.36842105263158,226.31578947368422,CI
M6C-M6H,0.00010708473041650001,90.0,200.0,CI
M6H-M6K,0.00010528176203365,134.5,150.0,CICL
M6H-M6J,0.0001046593089401,132.75,187.5,CI
M4C-M4J,0.00010480028316374999,86.07142857142857,210.71428571428572,CI
M4J-M4M,0.0001064967741072,101.0,162.5,CI
M4J-M4L,0.00010524778246875,80.41666666666667,162.5,CI
M3C-M4J,0.00010595339164135,62.0,300.0,CI
M4G-M4J,0.0001059528279304,18.0,300.0,PVC
M4L-M4M,0.00010598506405945,104.3,245.0,CI
M4M-M5A,0.00010677257984875,101.5,244.44444444444446,CI
M4G-M4T,0.00010567710936065,59.55555555555556,200.0,CI
M4G-M4S,0.00010579977169625,97.875,168.75,CI
M3C-M4G,0.00010614672705525,51.0,230.0,CI
M4G-M4P,0.00010610766828054999,55.1,225.0,CI
M4C-M4L,0.000104288573116,104.9,180.0,CI
M4B-M4C,0.00010361774548885,91.13333333333334,186.66666666666666,CI
M6P-M6S,0.0001064885799586,81.08333333333333,175.0,CI
M6N-M6P,0.0001063490702211,71.75,225.0,CI
M6E-M6P,0.00010662769451729999,74.55555555555556,188.88888888888889,CI
M6P-M6R,0.00010661506041875,84.46153846153847,173.07692307692307,CI
M6M-M6P,0.00010623944297425,79.5,225.0,CI
M5M-M6B,0.00010575811520215,41.333333333333336,175.0,CI
M3H-M5M,0.0001015800990164192,48.294117647058826,167.64705882352942,CI
M4R-M5M,0.00010604116201395,89.22222222222223,177.77777777777777,CI
M2P-M5M,0.00010771095514295,45.666666666666664,216.66666666666666,CI
M4N-M5M,0.0001070492456853,73.33333333333333,214.28571428571428,CI
M5M-M5N,0.0001061992509663,29.88888888888889,222.22222222222223,CI
M1R-M4A,0.0001034376776218,49.785714285714285,203.57142857142858,CI
M1P-M1R,0.00010183863312,48.46666666666667,173.33333333333334,CI
M1R-M1T,0.00010438065558664999,60.285714285714285,221.42857142857142,CI
M1R-M3A,0.00010429501801725,50.18181818181818,227.27272727272728,CI
M1K-M1R,0.0001018524062633,55.666666666666664,250.0,CI
M2H-M2J,0.00010910931274289999,42.142857142857146,250.0,CP
M1W-M2J,0.00010913780048485,42.642857142857146,192.85714285714286,CI
M2J-M3A,0.00010698101341719999,58.2,240.0,CI
