edge,avg_lead_ppm,pipe_age,pipe_diameter,pipe_material
M1L-M4E,0.0002745658581331,61.8,270.0,CI
M4C-M4E,0.0002720039813965,105.91666666666667,175.0,CI
M1N-M4E,0.0002774701738357,74.26666666666667,183.33333333333334,CI
M4B-M4E,0.00027146974358705,92.14285714285714,192.85714285714286,CI
M4E-M4L,0.00027570670466865,90.36363636363636,204.54545454545453,CI
M4J-M4K,0.00029910774506624997,90.18518518518519,187.03703703703704,CI
M4K-M4X,0.0003118548137694,56.0,300.0,CI
M4K-M4M,0.00030323101736599997,100.81818181818181,262.5,CI
M4G-M4K,0.00030583027314389996,38.75,175.0,CI
M4K-M5A,0.0003126887602731,25.666666666666668,400.0,CI
M1L-M4B,0.00027554963909085,70.1,187.5,CI
M1L-M1N,0.0002815500693395,55.95652173913044,226.08695652173913,CI
M1L-M4A,0.00028162141576405,66.57142857142857,192.85714285714286,CI
M1K-M1L,0.0002868293566256,51.111111111111114,227.77777777777777,CI
M1L-M1R,0.00028462278965855003,63.0,400.0,CI
M2L-M3B,0.00030553688049315,51.11764705882353,244.11764705882354,CI
M3B-M3C,0.0003002292853966,32.92307692307692,203.84615384615384,CI
M3A-M3B,0.00029938515365120005,54.8,180.0,CI
M3B-M4G,0.0003045788709819,46.25,150.0,CI
M3B-M4N,0.00030715274322775,31.666666666666668,200.0,CI
M2J-M3B,0.00030595967743545004,28.0,300.0,PVC
M6E-M6H,0.00032297321856020005,93.13333333333334,187.5,CI
M6H-M6R,0.00031655378099525004,87.92307692307692,200.0,CI
M6H-M6P,0.0003215286250412,92.13333333333334,206.66666666666666,CI
M6G-M6H,0.0003260596451908,108.36842105263158,226.31578947368422,CI
M6C-M6H,0.00032410847514865,88.0,200.0,CI
M6H-M6K,0.00031429918225850005,132.5,150.0,CICL
M6H-M6J,0.00032348636973645,130.75,187.5,CI
M4C-M4J,0.00028346639670425,84.07142857142857,210.71428571428572,CI
M4J-M4M,0.00029753406554455,99.0,162.5,CI
M4J-M4L,0.0002871691199764,78.41666666666667,162.5,CI
M3C-M4J,0.00029578373573715,60.0,300.0,CI
M4G-M4J,0.00030013332132245,16.0,300.0,PVC
M4L-M4M,0.00029129239227615,102.3,245.0,CI
M4M-M5A,0.00031111508075139997,99.5,244.44444444444446,CI
M4G-M4T,0.0003058813187107,57.55555555555556,200.0,CI
M4G-M4S,0.0003094025477394,95.875,168.75,CI
M3C-M4G,0.0003025062638148,49.0,230.0,CI
M4G-M4P,0.00030698740214105,53.1,225.0,CI
M4C-M4L,0.00027722472343585003,102.9,180.0,CI
M4B-M4C,0.00027298776235424997,89.13333333333334,186.66666666666666,CI
M6P-M6S,0.00031617690715935,79.08333333333333,175.0,CI
M6N-M6P,0.00032477787628765,69.75,225.0,CI
M6E-M6P,0.000322913698554,72.55555555555556,188.88888888888889,CI
M6P-M6R,0.00031649426098905,82.46153846153847,173.07692307692307,CI
M6M-M6P,0.00032145251423115,77.5,225.0,CI
M5M-M6B,0.00031947144493455,39.333333333333336,175.0,CI
M3H-M5M,0.00030621892366555,46.294117647058826,167.64705882352942,CI
M4R-M5M,0.00031598665997385,87.22222222222223,177.77777777777777,CI
M2P-M5M,0.00031449153810735,43.666666666666664,216.66666666666666,CI
M4N-M5M,0.00031435222707685,71.33333333333333,214.28571428571428,CI
M5M-M5N,0.00031920091934500004,27.88888888888889,222.22222222222223,CI
M1R-M4A,0.0002875984517857,47.785714285714285,203.57142857142858,CI
M1P-M1R,0.00029654028832904996,46.46666666666667,173.33333333333334,CI
M1R-M1T,0.0002934070831909,58.285714285714285,221.42857142857142,CI
M1R-M3A,0.00029353412020945,48.18181818181818,227.27272727272728,CI
M1K-M1R,0.00029280639264725,53.666666666666664,250.0,CI
M2H-M2J,0.0003131138051301,40.142857142857146,250.0,CP
M1W-M2J,0.0003101238597929,40.642857142857146,192.85714285714286,CI
M2J-M3A,0.00030304293852295,56.2,240.0,CI
M2J-M2K,0.00031209958780555004,55.0,350.0,CI
M1T-M2J,0.0003029159015044,34.666666666666664,250.0,CI
M2J-M2L,0.0003091946653649,60.0,400.0,DIP
M6S-M8X,0.0003130552002042,75.77777777777777,166.66666666666666,CI
M6R-M6S,0.00031120206311340004,63.666666666666664,208.33333333333334,CI
M6S-M8Y,0.0003042845632508,54.5,225.0,CI
M6N-M6S,0.00031948567841199997,103.33333333333333,180.0,CI
M9A-M9B,0.00033063665807245,70.6,180.0,AC
M9A-M9R,0.00034190038159485003,61.22222222222222,227.77777777777777,CI
M8X-M9A,0.00032786664035164997,76.77777777777777,205.0,CI
M8Z-M9A,0.00032394099555905,87.0,225.0,CI
M9A-M9P,0.00034987411290405,46.666666666666664,216.66666666666666,CI
M9A-M9N,0.0003372248782217,53.0,150.0,UNK
M6N-M9A,0.00033429711855945,39.333333333333336,216.66666666666666,CI
M1K-M1N,0.0002897336723282,71.25,193.75,CI
M1M-M1N,0.0002933484683185,53.416666666666664,212.5,CI
M2R-M3H,0.00029582310408350003,52.666666666666664,175.0,CI
M3H-M3J,0.0002901650232821,31.0,187.5,CI
M3H-M3K,0.0002941139230504,52.5,186.53846153846155,CI
M2N-M3H,0.000300104615651,54.5,203.57142857142858,CI
M2K-M2N,0.00030952697876835,42.53846153846154,173.07692307692307,CI
M2M-M2N,0.0003007342605292,44.705882352941174,255.88235294117646,CI
M2N-M2P,0.00030837723009280004,54.21739130434783,206.52173913043478,CI
M2N-M2R,0.00030019073266530005,60.666666666666664,183.33333333333334,CI
M3L-M3M,0.00029472556471819996,57.411764705882355,197.05882352941177,CI
M3M-M9N,0.0003130234508961,42.0,270.0,CI
M3K-M3M,0.0002922977969795,14.166666666666666,200.0,CI
