edge,avg_lead_ppm,pipe_age,pipe_diameter,pipe_material
M1L-M4E,8.436165472616752e-05,64.8,270.0,CI
M4C-M4E,8.752469733109078e-05,108.91666666666667,175.0,CI
M1N-M4E,8.381221263358991e-05,77.26666666666667,183.33333333333334,CI
M4B-M4E,8.60676614517967e-05,95.14285714285714,192.85714285714286,CI
M4E-M4L,8.737003659208616e-05,93.36363636363636,204.54545454545453,CI
M4J-M4K,8.431365859260163e-05,93.18518518518519,187.03703703703704,CI
M4K-M4X,7.450655779242516e-05,59.0,300.0,CI
M4K-M4M,8.269950450956823e-05,103.81818181818181,262.5,CI
M4G-M4K,8.198959668725729e-05,41.75,175.0,CI
M4K-M5A,7.41887387484312e-05,28.666666666666668,400.0,CI
M1L-M4B,8.425306445360183e-05,73.1,187.5,CI
M1L-M1N,8.199761563539505e-05,58.95652173913044,226.08695652173913,CI
M1L-M4A,8.295559024810791e-05,69.57142857142857,192.85714285714286,CI
M1K-M1L,8.123991320282221e-05,54.111111111111114,227.77777777777777,CI
M1L-M1R,8.124164854238431e-05,66.0,400.0,CI
M2L-M3B,7.304481130590042e-05,54.11764705882353,244.11764705882354,CI
M3B-M3C,8.00715734511614e-05,35.92307692307692,203.84615384615384,CI
M3A-M3B,7.715997315198183e-05,57.8,180.0,CI
M3B-M4G,7.924423352132241e-05,49.25,150.0,CI
M3B-M4N,7.42904884244005e-05,34.666666666666664,200.0,CI
M2J-M3B,7.39340020964543e-05,31.0,300.0,PVC
M6E-M6H,8.276128259797892e-05,96.13333333333334,187.5,CI
M6H-M6R,8.434247642507155e-05,90.92307692307692,200.0,CI
M6H-M6P,8.320484378685554e-05,95.13333333333334,206.66666666666666,CI
M6G-M6H,8.209036393711964e-05,111.36842105263158,226.31578947368422,CI
M6C-M6H,8.236319010456403e-05,91.0,200.0,CI
M6H-M6K,8.579455818980933e-05,135.5,150.0,CICL
M6H-M6J,8.319760294258594e-05,133.75,187.5,CI
M4C-M4J,8.813231248408555e-05,87.07142857142857,210.71428571428572,CI
M4J-M4M,8.577732794731855e-05,102.0,162.5,CI
M4J-M4L,8.797765174508095e-05,81.41666666666667,162.5,CI
M3C-M4J,8.58947600548466e-05,63.0,300.0,CI
M4G-M4J,8.506742012500762e-05,19.0,300.0,PVC
M4L-M4M,8.636349766204754e-05,105.3,245.0,CI
M4M-M5A,7.565240810314814e-05,102.5,244.44444444444446,CI
M4G-M4T,8.272051891187828e-05,60.55555555555556,200.0,CI
M4G-M4S,8.149932687481244e-05,98.875,168.75,CI
M3C-M4G,8.357069814950228e-05,52.0,230.0,CI
M4G-M4P,8.046593496451775e-05,56.1,225.0,CI
M4C-M4L,8.871848219881454e-05,105.9,180.0,CI
M4B-M4C,8.74161070585251e-05,92.13333333333334,186.66666666666666,CI
M6P-M6S,8.379688846568267e-05,82.08333333333333,175.0,CI
M6N-M6P,8.248405090719462e-05,72.75,225.0,CI
M6E-M6P,8.252060499538978e-05,75.55555555555556,188.88888888888889,CI
M6P-M6R,8.410179882248242e-05,85.46153846153847,173.07692307692307,CI
M6M-M6P,8.236436285823584e-05,80.5,225.0,CI
M5M-M6B,7.863993510603905e-05,42.333333333333336,175.0,CI
M3H-M5M,7.53342503880461e-05,49.294117647058826,167.64705882352942,CI
M4R-M5M,7.681274849921464e-05,90.22222222222223,177.77777777777777,CI
M2P-M5M,7.351719032724699e-05,46.666666666666664,216.66666666666666,CI
M4N-M5M,7.452536103626093e-05,74.33333333333333,214.28571428571428,CI
M5M-M5N,7.811770145843426e-05,30.88888888888889,222.22222222222223,CI
M1R-M4A,8.165018106251956e-05,50.785714285714285,203.57142857142858,CI
M1P-M1R,8.051528018464645e-05,49.46666666666667,173.33333333333334,CI
M1R-M1T,7.936404192447662e-05,61.285714285714285,221.42857142857142,CI
M1R-M3A,7.925553841888904e-05,51.18181818181818,227.27272727272728,CI
M1K-M1R,7.993450401723384e-05,56.666666666666664,250.0,CI
M2H-M2J,7.093671800692876e-05,43.142857142857146,250.0,CP
M1W-M2J,7.180360408624013e-05,43.642857142857146,192.85714285714286,CI
M2J-M3A,7.534886642545461e-05,59.2,240.0,CI
M2J-M2K,7.192403945078453e-05,58.0,350.0,CI
M1T-M2J,7.54573699310422e-05,37.666666666666664,250.0,CI
M2J-M2L,7.12337045793732e-05,63.0,400.0,DIP
M6S-M8X,8.540957310795784e-05,78.77777777777777,166.66666666666666,CI
M6R-M6S,8.493452110389869e-05,66.66666666666667,208.33333333333334,CI
M6S-M8Y,8.596773668130238e-05,57.5,225.0,CI
M6N-M6S,8.331677318861087e-05,106.33333333333333,180.0,CI
M9A-M9B,8.448891109476487e-05,73.6,180.0,AC
M9A-M9R,8.117624583343664e-05,64.22222222222223,227.77777777777777,CI
M8X-M9A,8.402291924258074e-05,79.77777777777777,205.0,CI
M8Z-M9A,8.46680849045515e-05,90.0,225.0,CI
M9A-M9P,7.856866582979758e-05,49.666666666666664,216.66666666666666,CI
M9A-M9N,7.85111197307706e-05,56.0,150.0,UNK
M6N-M9A,8.193011932323377e-05,42.333333333333336,216.66666666666666,CI
M1K-M1N,8.069047111024458e-05,74.25,193.75,CI
M1M-M1N,8.091347064077855e-05,56.416666666666664,212.5,CI
M2R-M3H,7.569140286246935e-05,55.666666666666664,175.0,CI
M3H-M3J,6.857749028503894e-05,34.0,187.5,CI
M3H-M3K,7.316920156528553e-05,55.5,186.53846153846155,CI
M2N-M3H,7.591482223321994e-05,57.5,203.57142857142858,CI
M2K-M2N,7.4550590634346e-05,45.53846153846154,173.07692307692307,CI
M2M-M2N,7.894382665057977e-05,47.705882352941174,255.88235294117646,CI
M2N-M2P,7.409776217242082e-05,57.21739130434783,206.52173913043478,CI
M2N-M2R,7.715257836629947e-05,63.666666666666664,183.33333333333334,CI
M3L-M3M,6.21854761665066e-05,60.411764705882355,197.05882352941177,CI
M3M-M9N,7.204341961691777e-05,45.0,270.0,CI
M3K-M3M,7.040282959491014e-05,17.166666666666668,200.0,CI
M3M-M6L,7.279070721318324e-05,34.666666666666664,216.66666666666666,CI
M3J-M3M,6.581111831466356e-05,11.0,300.0,PVC
M3M-M6A,7.378863382091125e-05,11.0,300.0,PVC
M5T-M6J,7.700001402944327e-05,102.11764705882354,232.35294117647058,CI
M6J-M6K,8.55466397429506e-05,93.95833333333333,222.91666666666666,CI
M6G-M6J,8.184244549026091e-05,105.52941176470588,170.58823529411765,CI
M5V-M6J,8.347718573858341e-05,75.0,280.0,CI
M5S-M6J,7.865783709287644e-05,92.0,150.0,CI
M6L-M6M,7.921253558496635e-05,36.0,216.66666666666666,CI
M6M-M6N,8.188424758116404e-05,80.64516129032258,188.28125,CI
M6E-M6M,8.192080166935921e-05,74.05,212.5,CI
M6A-M6M,8.021046219269435e-05,38.5,225.0,CI
M4A-M4B,8.466159697373708e-05,59.857142857142854,271.42857142857144,CI
M6K-M6R,8.66915132254362e-05,100.88888888888889,230.55555555555554,CI
M5V-M6K,8.607414098580679e-05,31.0,200.0,UNK
M4P-M4R,7.779957733054956e-05,85.6923076923077,200.0,CI
M4N-M4P,7.551218986759584e-05,63.6,180.0,CI
M4P-M4S,7.922190361966689e-05,65.625,196.875,CI
M4S-M4T,8.147648756702742e-05,71.66666666666667,200.0,CI
M4S-M5P,7.984355822950601e-05,80.75,225.0,CI
M4S-M4V,8.080213461319605e-05,107.25,200.0,CI
M4R-M4S,7.883296924084425e-05,46.75,362.5,CI
M6B-M6E,8.157102998594443e-05,82.64285714285714,230.0,CI
M6C-M6E,8.167895131309827e-05,95.1875,190.625,CI
M6A-M6E,8.036670432984829e-05,67.0,300.0,CI
M6B-M6C,8.117293749252956e-05,78.6875,221.875,CI
M6C-M6G,8.100803265223901e-05,76.0909090909091,190.9090909090909,CI
M5P-M6C,8.035633987436692e-05,85.64285714285714,185.71428571428572,CI
M5N-M6C,8.065070384492476e-05,71.36363636363636,263.6363636363636,CI
M9C-M9R,8.405867283542952e-05,55.0,600.0,CP
M9B-M9C,8.737133809675773e-05,50.8,280.0,CI
M8W-M9C,8.827958683421214e-05,39.333333333333336,250.0,CI
M9C-M9W,8.527490236113469e-05,59.0,500.0,CP
M9P-M9R,7.788860864688953e-05,47.333333333333336,225.0,CI
M9R-M9W,8.171241817623377e-05,39.6,272.5,CI
M9M-M9R,7.133411916345358e-05,40.75,237.5,CI
M9B-M9R,8.38088539118568e-05,54.8,220.0,CI
M9R-M9V,7.622796705613534e-05,14.0,150.0,PVC
M4R-M5N,7.871559591094652e-05,96.11111111111111,241.66666666666666,CI
M5N-M5P,7.97261848996083e-05,90.6923076923077,210.71428571428572,CI
M5N-M6B,8.054278251777092e-05,29.133333333333333,196.66666666666666,CI
M8V-M8Y,8.781792493412892e-05,72.5625,189.47368421052633,AC
M8V-M8W,8.863400195042293e-05,81.125,196.875,CI
M8V-M8Z,8.790492702275514e-05,72.42857142857143,262.5,CI
M5R-M6G,7.902258867522081e-05,105.70588235294117,247.05882352941177,CI
M5P-M6G,8.008351370692254e-05,68.33333333333333,300.0,CI
M5S-M6G,7.755059808741012e-05,116.66666666666667,150.0,CI
M8W-M8Z,8.820894172042608e-05,54.333333333333336,277.77777777777777,CI
M8W-M9B,8.802976791063945e-05,41.0,300.0,PVC
M4N-M4R,7.51232554887732e-05,108.35714285714286,171.42857142857142,CI
M4R-M5P,7.842123194038868e-05,99.125,168.75,CI
M5R-M5S,7.583798027783632e-05,68.4,195.0,CI
M4Y-M5S,7.250475963950157e-05,77.3,260.0,CI
M5S-M5T,7.270816662659248e-05,68.6842105263158,242.85714285714286,CI
M5H-M5S,6.78697712297241e-05,14.0,150.0,DICL
