PostalCode,Baseline,HighRisk_Materials,Age_Targeted,Node_Fix,Material_Weighted,Improvement_HighRisk_Materials_%,Improvement_Age_Targeted_%,Improvement_Node_Fix_%,Improvement_Material_Weighted_%
M6M,2.698909878730774e-05,2.8514222979545593e-05,2.9101516842842102e-05,2.7050460040569306e-05,2.7853888154029846e-05,-5.650889658290772,-7.826930688503676,-0.22735569551667578,-3.2042172787510586
M8W,2.8721975564956666e-05,3.070761942863464e-05,3.068335425853729e-05,1.5945661723613742e-06,2.957810151576996e-05,-6.913326206225995,-6.8288432637401115,94.44827125921351,-2.980734904105418
M6B,2.667823737859726e-05,2.8114162266254424e-05,2.8792427182197573e-05,2.6880650520324708e-05,2.7563297271728514e-05,-5.382382903636442,-7.9247731909621315,-0.7587200715510382,-3.3175351151245813
M6K,2.7004223465919496e-05,2.8748709082603455e-05,2.887132787704468e-05,2.6567289650440218e-05,2.7622893691062926e-05,-6.4600473288394165,-6.914119983792721,1.6180202923839235,-2.291012833322976
M6C,2.5859399378299713e-05,2.7114160001277925e-05,2.8016446471214296e-05,2.6444074511528017e-05,2.6694644629955293e-05,-4.852241943527746,-8.341443130054676,-2.2609772356853064,-3.2299483813861842
M1E,2.606973958015442e-05,2.7901108264923095e-05,2.743398904800415e-05,2.4406966984272003e-05,2.6468251526355745e-05,-7.024882926574394,-5.233076700498633,6.3781711005207065,-1.5286380018337122
M6P,2.6725222408771514e-05,2.8231384575366975e-05,2.8859057009220125e-05,2.631262117624283e-05,2.757175499200821e-05,-5.635732955027244,-7.984347399661915,1.543864541958922,-3.167541771172893
M2N,2.714212942123413e-05,2.8981492578983308e-05,2.8784965097904206e-05,2.393053960800171e-05,2.7742034673690795e-05,-6.776782798442431,-6.052714771099842,11.832490234608837,-2.210236504094402
M4P,2.576433688402176e-05,2.7161972999572755e-05,2.7912195086479187e-05,2.6093544960021973e-05,2.648461037874222e-05,-5.424692752010106,-8.336555340531438,-1.2777665401680782,-2.795622095623
M5A,2.083033311367035e-05,2.202993965148926e-05,2.2513177454471588e-05,2.0370430529117585e-05,2.1051488757133485e-05,-5.758940729717094,-8.07881627057051,2.2078503595842394,-1.0616999846152073
M4G,2.5900453805923462e-05,2.7317458152770997e-05,2.8035422325134277e-05,2.5505293488502504e-05,2.660153192281723e-05,-5.4709633949481775,-8.242977266763356,1.5256887789764704,-2.706817888779348
M9N,2.3547919809818267e-05,2.4746226489543916e-05,2.5525933921337126e-05,2.428518307209015e-05,2.4103559017181398e-05,-5.0888005794295985,-8.399952639103727,-3.1309061192083814,-2.3596105806826198
M1S,1.8701428294181824e-05,1.965689831972122e-05,2.0595314621925353e-05,1.9715820610523225e-05,1.900352430343628e-05,-5.109075149285003,-10.126960882087996,-5.424143548741609,-1.6153633000771415
M4V,2.7267735123634337e-05,2.8873663127422334e-05,2.93735294342041e-05,2.7204667806625366e-05,2.802011787891388e-05,-5.889480723303847,-7.722659403217406,0.23128916546613906,-2.7592418360680613
M1W,1.6330583930015565e-05,1.7143432557582856e-05,1.834929120540619e-05,1.769552826881409e-05,1.6702753007411955e-05,-4.977462110667568,-12.361513121893012,-8.358209018415806,-2.278969808987323
M6S,2.6912847936153413e-05,2.8524713456630705e-05,2.901686358451843e-05,2.424004238843918e-05,2.7752749860286712e-05,-5.989204577312646,-7.817885544318727,9.931336713435359,-3.120821423752095
M4N,2.6141788363456726e-05,2.757415419816971e-05,2.8281582951545715e-05,2.6353665232658388e-05,2.6953736424446107e-05,-5.479218999092153,-8.185341256454281,-0.8104911043417407,-3.105939233003631
M1M,2.8329390764236452e-05,3.0258898735046386e-05,3.023630678653717e-05,1.5945661723613742e-06,2.910701012611389e-05,-6.810975876141258,-6.731228490476555,94.37133616592142,-2.7449208786343524
M8X,2.696257096529007e-05,2.8582882106304167e-05,2.9044191718101503e-05,2.2886815786361695e-05,2.7780017495155334e-05,-6.00948308341955,-7.720408990267219,15.1163447438868,-3.0317825808139505
M5M,2.5854642450809477e-05,2.7305068016052246e-05,2.7902338981628417e-05,2.5990472435951234e-05,2.6601521551609038e-05,-5.609923123099922,-7.920034224858632,-0.5253601375466078,-2.888762055868913
M6H,2.657174926996231e-05,2.803648364543915e-05,2.870443093776703e-05,2.6747842013835907e-05,2.734673434495926e-05,-5.512374667529422,-8.026124460746665,-0.6627066290763821,-2.916575296279121
M1K,2.6864006459712982e-05,2.8494980931282042e-05,2.880899864435196e-05,2.1259167015552522e-05,2.7593517243862153e-05,-6.071225727312774,-7.240141888574267,20.86375110341729,-2.715569567939144
M1C,2.7359006941318512e-05,2.9356852531433105e-05,2.8706010818481445e-05,2.5482907235622406e-05,2.7908108830451965e-05,-7.302332260815277,-4.923438486097393,6.857338461589977,-2.0070241961311135
M9R,2.4482006132602693e-05,2.592243903875351e-05,2.6308344781398774e-05,2.395388174057007e-05,2.4966109931468965e-05,-5.883639185240593,-7.45992235646059,2.157194100729024,-1.9773861514624451
M4R,2.5816415905952454e-05,2.7184317767620088e-05,2.7973488926887513e-05,2.616742080450058e-05,2.6598762810230256e-05,-5.298573847937733,-8.355431787251714,-1.3596190107364845,-3.0304241577445987
M5S,2.1319546461105347e-05,2.2371218085289e-05,2.325213295221329e-05,2.231806045770645e-05,2.159735482931137e-05,-4.932898671659303,-9.064857428527791,-4.683561155593802,-1.3030688467639173
M4W,2.6638871729373932e-05,2.832002729177475e-05,2.8516753554344178e-05,2.6417596817016602e-05,2.718525290489197e-05,-6.310911285882481,-7.049404509499395,0.8306467128385807,-2.051067256409205
M5J,1.648792552947998e-05,1.7440123438835145e-05,1.796303802728653e-05,1.713128960132599e-05,1.6351207077503206e-05,-5.775122574714807,-8.946622758388177,-3.902031645495306,0.8292034782200203
M4B,2.8713766753673555e-05,3.0669266700744626e-05,3.070443201065064e-05,1.5945661723613742e-06,2.969603943824768e-05,-6.810321905330969,-6.932790372138838,94.44668410786832,-3.420911972297941
